HR EXPENSES March 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sl No,Vendor,Service,Payment frequency,Annual commitment,Monthly Average,"Actual 
expense",HLL Malappuram,"Power Grid Corporation of India Limited - Yelahanka, Bangalore",Cochin Shipyard Limited - Andaman,IOCL - Panipat,Swasthya-An innovative behaviour change programme for Aneamia in women of reproductive age,Counselling support for transgender individuals-pre and post surgery and non surgical pathways in gender transition,Inclusive community mental health initiative in Wayanad district,My City,Exploring the correlation and Diagnostic potential of Menstrual Blood,HLL Maharashtra,CPCL NILGIRIS,LSGB,HR REVENUE,,Month,HLL Malappuram,"Power Grid Corporation of India Limited - Yelahanka, Bangalore",Cochin Shipyard Limited - Andaman,IOCL - Panipat,"HLL Cotton Hill, Trivandrum",Swasthya-An innovative behaviour change programme for Aneamia in women of reproductive age,Counselling support for transgender individuals-pre and post surgery and non surgical pathways in gender transition,Inclusive community mental health initiative in Wayanad district,My City,Exploring the correlation and Diagnostic potential of Menstrual Blood,HLL Maharashtra,HMA HR REVENUE,LSGB,
23,Vismaya Services,HK salary,Monthly,600000,50000,46955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46016
24,Vismaya Services,My city salary,Monthly,810000,67500,66207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66676
25,Naveen Security Services,Security salary,Monthly,1140000,95000,96550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96550
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR EXPENSE BOOKING - APRIL 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sl No,Vendor,Service,Payment frequency,Annual commitment,Monthly Average,"Actual 
expense",HLL Malappuram,"Power Grid Corporation of India Limited - Yelahanka, Bangalore",Cochin Shipyard Limited - Andaman,IOCL - Panipat,Swasthya-An innovative behaviour change programme for Aneamia in women of reproductive age,Counselling support for transgender individuals-pre and post surgery and non surgical pathways in gender transition,Inclusive community mental health initiative in Wayanad district,My City,Exploring the correlation and Diagnostic potential of Menstrual Blood,HLL Maharashtra,CPCL NILGIRIS,LSGB,HR REVENUE,HMA,Month,HLL Malappuram,"Power Grid Corporation of India Limited - Yelahanka, Bangalore",Cochin Shipyard Limited - Andaman,IOCL - Panipat,"HLL Cotton Hill, Trivandrum",Swasthya-An innovative behaviour change programme for Aneamia in women of reproductive age,Counselling support for transgender individuals-pre and post surgery and non surgical pathways in gender transition,Inclusive community mental health initiative in Wayanad district,My City,Exploring the correlation and Diagnostic potential of Menstrual Blood,HLL Maharashtra,HMA HR REVENUE,LSGB,
1,Manjith Travels,Contract Vehicle,Monthly,523932,43661,46000,0,0,0,0,0,0,0,0,,0,,23000,23000,,July 2025,0,0,0,0,0,0,0,0,8333.333333,0,0,60000,50767,
2,Alchemy IBS,Website,Monthly,200000,0,,,,,,,,,,,,,,,,August 2025,16207.25,0,0,0,0,0,0,0,0,0,0,423768,-437999,
3,Oval Blue Technologies,Photocopier SDP,Monthly,84000,7000,4783,,0,0,,0,0,0,0,,0,,2391.5,,2391.5,September 2025,0,0,0,0,0,0,0,0,0,0,0,0,,
